Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Internship_Experience,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
24,Other,Diploma,Science,1,3,No,2,5,7,2,4,8,Engineering,Remote,Freelance,Yes,6,4,No,19,1,Yes,10,Individual,5,9,Entrepreneur
37,Other,High School,Medicine,2,10,Yes,4,4,10,7,9,5,Arts,Hybrid,Government,Yes,1,4,Yes,6,8,No,2,Teamwork,4,2,Doctor
46,Other,Master’s,Medicine,8,1,Yes,7,2,8,2,3,6,Technology,Remote,Freelance,Yes,9,1,Yes,8,5,No,7,Individual,2,3,Business Analyst
32,Female,High School,Science,1,3,No,6,1,2,7,5,4,Engineering,Remote,Research Lab,Yes,4,3,Yes,9,0,Yes,6,Individual,2,6,Artist
28,Other,High School,Business,3,2,No,4,7,10,4,2,7,Engineering,Hybrid,Freelance,No,5,2,Yes,8,0,No,10,Teamwork,10,7,Research Scientist
25,Male,High School,Sports,7,9,Yes,9,7,7,9,4,9,Sports,Hybrid,Startup,Yes,1,2,No,11,7,Yes,6,Teamwork,6,6,Mechanical Engineer
46,Other,Bachelor's,Arts,8,1,No,5,6,5,1,7,4,Engineering,Hybrid,Freelance,No,9,1,No,4,1,Yes,10,Teamwork,1,4,Business Analyst
38,Male,Bachelor's,Sports,5,2,Yes,2,5,1,3,10,6,Engineering,On-Site,Startup,Yes,1,5,Yes,8,8,No,9,Teamwork,3,1,Software Engineer
24,Other,Master’s,Science,2,1,No,7,9,7,5,5,6,Social Work,Remote,Research Lab,No,7,4,No,2,8,No,2,Teamwork,1,2,Data Scientist
43,Other,High School,Business,3,9,Yes,10,2,10,7,6,1,Engineering,On-Site,Government,No,8,3,Yes,6,8,Yes,1,Teamwork,9,2,Data Scientist
36,Male,Master’s,Medicine,9,7,No,2,3,8,7,5,9,Engineering,Remote,Corporate,No,7,1,No,19,5,No,5,Teamwork,7,5,Digital Marketer
40,Other,Bachelor's,Engineering,10,1,No,8,9,1,6,7,2,Social Work,Hybrid,Startup,No,2,0,Yes,0,9,No,9,Teamwork,2,1,Artist
28,Other,High School,Arts,7,10,No,7,2,4,5,9,10,Science,On-Site,Corporate,No,6,4,Yes,16,10,No,7,Teamwork,3,5,Business Analyst
28,Other,Diploma,Sports,1,6,Yes,9,3,4,5,7,1,Science,Hybrid,Government,No,8,0,Yes,15,5,Yes,9,Individual,5,9,Lawyer
41,Female,Bachelor's,Business,3,5,Yes,6,6,5,4,3,5,Social Work,Hybrid,Freelance,No,8,3,No,2,3,Yes,7,Individual,1,8,Entrepreneur
38,Male,Bachelor's,Arts,9,10,Yes,7,10,5,9,7,2,Science,Hybrid,Government,No,8,3,No,10,9,No,4,Teamwork,9,6,Research Scientist
21,Other,Bachelor's,Engineering,7,5,No,10,7,4,8,3,10,Sports,Hybrid,Government,No,9,0,No,14,9,Yes,1,Balanced,5,10,Doctor
25,Male,High School,Engineering,2,4,No,9,2,1,9,4,5,Medicine,On-Site,Research Lab,No,3,4,No,9,5,Yes,9,Teamwork,5,7,Entrepreneur
41,Male,PhD,Engineering,6,3,Yes,7,8,9,7,6,1,Medicine,Hybrid,Startup,No,2,0,No,14,4,Yes,1,Teamwork,7,5,Business Analyst
20,Male,Diploma,Sports,9,8,No,9,9,5,5,7,7,Engineering,Hybrid,Government,No,2,1,Yes,7,2,No,4,Balanced,5,10,Entrepreneur
39,Other,Diploma,Science,4,7,Yes,8,1,1,10,8,4,Technology,Hybrid,Startup,Yes,3,4,No,3,9,No,8,Individual,10,2,Digital Marketer
38,Other,Master’s,Arts,10,5,Yes,5,6,3,2,9,8,Social Work,Remote,Startup,Yes,9,5,Yes,6,6,No,6,Individual,2,5,Data Scientist
19,Male,High School,Science,2,9,Yes,7,4,1,4,1,8,Technology,Remote,Government,Yes,5,2,No,3,5,Yes,9,Individual,3,3,Business Analyst
41,Female,Bachelor's,Engineering,3,7,No,7,10,7,6,4,7,Sports,On-Site,Corporate,No,4,5,No,20,3,No,8,Balanced,7,9,Entrepreneur
29,Male,PhD,Business,7,10,Yes,1,10,10,8,3,1,Technology,Hybrid,Government,Yes,1,0,Yes,2,7,Yes,8,Teamwork,2,2,Mechanical Engineer
47,Female,High School,Engineering,4,2,Yes,4,5,10,5,6,3,Science,Hybrid,Research Lab,No,1,2,Yes,5,4,Yes,9,Individual,6,10,Lawyer
23,Male,High School,Science,7,7,Yes,5,6,10,9,6,6,Social Work,On-Site,Freelance,No,6,0,Yes,11,6,No,9,Teamwork,10,6,Business Analyst
19,Male,PhD,Engineering,5,7,Yes,6,6,7,4,8,6,Sports,On-Site,Freelance,No,7,5,Yes,13,8,No,8,Individual,10,4,Data Scientist
49,Male,Bachelor's,Engineering,8,4,Yes,7,7,6,6,4,6,Social Work,Remote,Research Lab,Yes,10,0,No,9,4,No,10,Teamwork,6,7,Software Engineer
45,Other,High School,Science,8,8,No,5,9,9,4,4,2,Sports,Remote,Government,No,3,4,No,6,0,Yes,9,Balanced,8,6,Software Engineer
38,Female,Diploma,Science,5,4,No,2,4,7,6,1,8,Arts,On-Site,Government,Yes,9,2,No,20,6,Yes,10,Individual,1,4,Doctor
18,Female,Diploma,Business,7,7,Yes,5,9,5,10,3,3,Sports,Hybrid,Government,Yes,6,1,Yes,12,0,No,9,Balanced,10,1,Entrepreneur
29,Male,PhD,Science,6,4,Yes,5,1,7,3,3,5,Arts,Hybrid,Corporate,Yes,4,5,Yes,15,4,No,5,Individual,5,5,Business Analyst
43,Other,Bachelor's,Business,8,8,Yes,7,9,10,8,8,9,Social Work,Hybrid,Freelance,Yes,3,3,Yes,12,8,Yes,10,Balanced,7,1,Research Scientist
39,Other,PhD,Medicine,9,3,Yes,3,8,4,4,8,7,Business,Hybrid,Corporate,No,5,1,No,15,2,Yes,1,Teamwork,6,7,Entrepreneur
46,Female,High School,Medicine,5,2,No,1,2,10,7,8,9,Business,Remote,Startup,No,6,2,No,20,6,No,1,Balanced,6,4,Digital Marketer
29,Other,Diploma,Science,7,10,No,6,7,9,10,9,4,Engineering,Hybrid,Startup,No,7,3,Yes,10,9,No,7,Teamwork,2,8,Artist
42,Female,Master’s,Engineering,1,6,Yes,7,7,6,8,8,1,Engineering,On-Site,Research Lab,Yes,7,2,No,5,0,No,7,Balanced,4,10,Doctor
34,Female,PhD,Arts,8,7,No,10,2,4,9,6,10,Science,Hybrid,Corporate,Yes,7,5,Yes,10,5,Yes,10,Teamwork,10,1,Artist
44,Female,Master’s,Engineering,3,7,No,8,8,5,2,5,3,Business,Remote,Government,Yes,4,3,Yes,15,3,No,2,Balanced,9,3,Lawyer
44,Other,Master’s,Science,1,6,Yes,7,6,8,3,4,5,Sports,Hybrid,Government,Yes,7,2,No,14,0,No,4,Balanced,10,2,Artist
48,Female,Diploma,Business,6,8,Yes,7,6,7,9,3,10,Sports,Hybrid,Corporate,Yes,9,5,No,1,9,No,4,Individual,2,1,Lawyer
27,Female,PhD,Engineering,8,6,Yes,7,5,6,7,7,1,Arts,Remote,Government,No,6,2,Yes,20,4,No,1,Balanced,8,2,Software Engineer
49,Male,Master’s,Medicine,3,6,Yes,1,8,2,7,9,7,Medicine,Remote,Government,No,3,3,Yes,17,0,Yes,7,Individual,1,3,Doctor
45,Female,High School,Sports,1,3,Yes,9,10,3,4,1,1,Science,Remote,Corporate,No,1,2,Yes,19,9,No,1,Individual,10,6,Research Scientist
45,Female,Bachelor's,Science,3,2,No,9,9,1,1,2,8,Medicine,Hybrid,Startup,No,9,3,Yes,20,10,No,5,Balanced,1,4,Data Scientist
33,Male,Bachelor's,Engineering,5,7,No,7,5,3,8,8,7,Business,On-Site,Corporate,Yes,2,2,No,14,5,No,4,Balanced,4,9,Research Scientist
32,Male,Diploma,Sports,8,6,No,9,1,2,10,4,2,Medicine,On-Site,Freelance,No,3,2,No,13,6,Yes,7,Individual,5,4,Mechanical Engineer
47,Other,PhD,Engineering,9,1,No,4,6,10,9,8,7,Technology,Remote,Freelance,Yes,8,2,Yes,9,10,No,1,Teamwork,8,5,Software Engineer
47,Female,PhD,Business,9,2,Yes,7,1,6,4,6,6,Social Work,On-Site,Freelance,Yes,6,4,No,7,10,No,10,Balanced,9,3,Business Analyst
32,Other,Bachelor's,Business,4,2,No,2,5,4,1,1,7,Science,Remote,Research Lab,No,10,4,No,1,6,Yes,10,Individual,8,1,Research Scientist
47,Other,High School,Business,8,1,Yes,6,6,10,9,6,1,Science,On-Site,Research Lab,Yes,4,3,No,13,1,Yes,5,Balanced,9,4,Digital Marketer
36,Male,Bachelor's,Sports,5,3,No,2,3,3,5,1,7,Engineering,Hybrid,Startup,Yes,7,0,Yes,3,3,No,2,Balanced,6,1,Data Scientist
29,Other,Bachelor's,Arts,3,5,Yes,10,1,8,6,8,9,Business,On-Site,Corporate,Yes,6,0,Yes,14,7,No,6,Individual,3,2,Entrepreneur
40,Female,PhD,Sports,5,4,No,3,2,5,2,1,8,Arts,On-Site,Startup,No,9,4,No,16,8,Yes,7,Teamwork,9,7,Digital Marketer
37,Male,Master’s,Science,2,2,No,1,3,4,5,5,7,Medicine,Hybrid,Freelance,Yes,2,0,Yes,11,0,Yes,5,Balanced,4,8,Doctor
49,Female,High School,Science,6,8,No,7,3,6,1,10,2,Social Work,On-Site,Freelance,Yes,5,4,Yes,14,3,Yes,8,Teamwork,5,2,Doctor
42,Female,PhD,Medicine,1,9,Yes,2,2,4,3,6,7,Medicine,Remote,Research Lab,Yes,2,1,No,7,6,Yes,10,Teamwork,8,2,Doctor
20,Male,Bachelor's,Medicine,6,8,Yes,3,6,10,1,8,2,Engineering,Remote,Freelance,No,1,3,No,0,5,Yes,10,Teamwork,8,9,Digital Marketer
22,Female,Master’s,Science,5,7,No,1,7,10,1,4,4,Medicine,On-Site,Research Lab,Yes,1,3,No,20,10,No,9,Individual,7,7,Business Analyst
36,Male,High School,Engineering,9,10,Yes,3,5,5,9,3,1,Medicine,Remote,Startup,No,2,5,Yes,19,2,Yes,6,Balanced,1,5,Mechanical Engineer
24,Female,Diploma,Science,7,2,No,4,7,4,6,5,3,Business,Remote,Corporate,No,7,4,No,6,5,No,1,Balanced,10,6,Software Engineer
38,Male,High School,Arts,6,6,No,7,3,9,8,8,5,Medicine,Hybrid,Corporate,Yes,10,2,Yes,17,7,No,7,Balanced,10,3,Mechanical Engineer
26,Other,High School,Medicine,7,4,Yes,6,5,2,5,8,6,Engineering,Hybrid,Corporate,No,9,4,No,3,9,No,1,Balanced,7,10,Artist
24,Female,Bachelor's,Medicine,10,5,Yes,1,3,1,9,5,3,Engineering,Remote,Corporate,Yes,4,2,No,12,8,No,2,Teamwork,10,4,Mechanical Engineer
35,Male,Bachelor's,Sports,5,9,No,4,4,7,4,9,3,Social Work,On-Site,Government,Yes,9,3,No,4,3,Yes,3,Teamwork,4,5,Software Engineer
21,Female,Diploma,Medicine,1,9,No,9,6,9,10,2,10,Technology,Hybrid,Startup,Yes,7,4,Yes,11,7,No,7,Balanced,8,5,Research Scientist
42,Female,Diploma,Science,9,4,No,3,4,9,8,4,6,Engineering,On-Site,Research Lab,No,4,3,Yes,8,0,No,1,Balanced,4,3,Digital Marketer
45,Female,Diploma,Medicine,5,8,No,6,4,4,6,1,9,Engineering,Hybrid,Startup,No,10,5,Yes,3,1,No,6,Balanced,5,5,Mechanical Engineer
31,Male,PhD,Medicine,4,5,No,2,7,4,10,8,2,Medicine,Remote,Startup,Yes,10,2,No,1,4,Yes,4,Individual,4,8,Doctor
35,Other,PhD,Sports,6,9,No,5,6,1,5,2,2,Technology,Hybrid,Government,No,10,4,No,7,7,Yes,4,Balanced,4,10,Doctor
43,Other,Bachelor's,Science,5,2,No,9,1,1,5,8,7,Medicine,On-Site,Government,Yes,9,1,Yes,3,7,No,3,Teamwork,8,8,Lawyer
26,Other,Bachelor's,Engineering,1,4,Yes,2,8,1,3,8,4,Arts,Remote,Corporate,No,6,3,No,18,1,No,7,Teamwork,1,1,Business Analyst
43,Male,Diploma,Medicine,2,3,Yes,3,1,6,4,8,1,Engineering,Hybrid,Corporate,Yes,7,1,Yes,7,3,Yes,5,Individual,9,8,Lawyer
38,Other,PhD,Medicine,4,7,Yes,2,9,6,10,6,6,Sports,Remote,Freelance,No,8,3,No,18,6,No,8,Balanced,7,1,Data Scientist
19,Male,Master’s,Medicine,8,2,Yes,2,4,5,5,8,9,Sports,On-Site,Freelance,Yes,3,4,No,14,6,No,8,Individual,7,3,Software Engineer
37,Female,PhD,Arts,5,3,Yes,6,7,10,9,4,10,Medicine,On-Site,Government,No,7,4,Yes,5,4,No,1,Individual,1,1,Entrepreneur
45,Female,Bachelor's,Science,7,9,Yes,6,5,10,10,6,6,Science,On-Site,Corporate,No,10,2,Yes,15,6,No,5,Individual,5,4,Software Engineer
32,Other,PhD,Medicine,2,8,Yes,5,10,2,3,2,6,Engineering,Remote,Research Lab,Yes,10,1,No,11,0,Yes,4,Teamwork,7,4,Data Scientist
45,Male,Bachelor's,Arts,8,2,No,2,3,6,5,7,4,Medicine,Remote,Government,Yes,10,1,No,14,0,Yes,6,Teamwork,7,8,Business Analyst
24,Female,Diploma,Engineering,5,6,No,1,8,1,9,1,1,Social Work,Hybrid,Freelance,No,7,0,Yes,14,5,No,7,Balanced,6,3,Entrepreneur
29,Male,Diploma,Engineering,4,3,Yes,3,10,3,1,9,7,Arts,On-Site,Startup,No,9,2,Yes,5,7,No,5,Teamwork,10,4,Digital Marketer
46,Male,Diploma,Sports,9,6,No,3,2,5,5,10,4,Sports,Remote,Research Lab,No,4,4,Yes,14,5,Yes,5,Teamwork,2,3,Lawyer
25,Female,Master’s,Sports,6,5,Yes,9,10,10,4,2,9,Medicine,Remote,Research Lab,Yes,4,0,Yes,2,0,Yes,9,Balanced,7,2,Business Analyst
32,Male,Master’s,Sports,4,10,Yes,4,3,5,1,7,4,Social Work,Remote,Government,No,3,1,No,11,10,Yes,8,Balanced,10,1,Digital Marketer
20,Female,Bachelor's,Arts,8,4,Yes,9,5,7,1,6,9,Engineering,Hybrid,Freelance,No,7,5,Yes,13,3,No,8,Balanced,8,1,Research Scientist
31,Female,High School,Engineering,3,7,Yes,1,5,5,7,2,1,Engineering,Hybrid,Research Lab,No,1,4,Yes,17,4,Yes,5,Individual,5,8,Artist
34,Female,Master’s,Sports,10,10,No,3,5,10,6,6,10,Arts,On-Site,Startup,Yes,6,4,No,3,10,No,1,Individual,4,7,Business Analyst
21,Male,Bachelor's,Business,2,7,Yes,1,7,6,1,3,4,Sports,On-Site,Corporate,No,4,3,No,6,8,No,10,Balanced,1,3,Artist
35,Female,PhD,Sports,7,4,Yes,6,8,7,4,1,2,Technology,Remote,Government,Yes,2,5,Yes,5,4,Yes,8,Balanced,2,5,Research Scientist
25,Male,Diploma,Engineering,4,3,Yes,1,8,2,7,9,6,Business,On-Site,Freelance,Yes,6,5,No,4,0,Yes,2,Teamwork,6,1,Digital Marketer
21,Female,Diploma,Business,4,4,No,2,3,3,6,7,9,Business,Remote,Freelance,Yes,3,2,No,6,3,Yes,3,Balanced,8,6,Research Scientist
