Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
24,Other,Diploma,Science,Low,Low,No,Low,Medium,Medium,Low,Medium,High,Engineering,Remote,Freelance,Yes,Medium,No,6,1,Yes,High,Individual,Medium,High,Entrepreneur
37,Other,High School,Medicine,Low,High,Yes,Medium,Medium,High,Medium,High,Medium,Arts,Hybrid,Government,Yes,Low,Yes,6,8,No,Low,Teamwork,Medium,Low,Doctor
46,Other,Master’s,Medicine,High,Low,Yes,Medium,Low,High,Low,Low,Medium,Technology,Remote,Freelance,Yes,High,Yes,8,5,No,Medium,Individual,Low,Low,Business Analyst
32,Female,High School,Science,Low,Low,No,Medium,Low,Low,Medium,Medium,Medium,Engineering,Remote,Research Lab,Yes,Medium,Yes,9,0,Yes,Medium,Individual,Low,Medium,Artist
28,Other,High School,Business,Low,Low,No,Medium,Medium,High,Medium,Low,Medium,Engineering,Hybrid,Freelance,No,Medium,Yes,8,0,No,High,Teamwork,High,Medium,Research Scientist
25,Male,High School,Sports,Medium,High,Yes,High,Medium,Medium,High,Medium,High,Sports,Hybrid,Startup,Yes,Low,No,7,7,Yes,Medium,Teamwork,Medium,Medium,Mechanical Engineer
46,Other,Bachelor's,Arts,High,Low,No,Medium,Medium,Medium,Low,Medium,Medium,Engineering,Hybrid,Freelance,No,High,No,4,1,Yes,High,Teamwork,Low,Medium,Business Analyst
38,Male,Bachelor's,Sports,Medium,Low,Yes,Low,Medium,Low,Low,High,Medium,Engineering,On-Site,Startup,Yes,Low,Yes,8,8,No,High,Teamwork,Low,Low,Software Engineer
24,Other,Master’s,Science,Low,Low,No,Medium,High,Medium,Medium,Medium,Medium,Social Work,Remote,Research Lab,No,Medium,No,2,8,No,Low,Teamwork,Low,Low,Data Scientist
43,Other,High School,Business,Low,High,Yes,High,Low,High,Medium,Medium,Low,Engineering,On-Site,Government,No,High,Yes,6,8,Yes,Low,Teamwork,High,Low,Data Scientist
36,Male,Master’s,Medicine,High,Medium,No,Low,Low,High,Medium,Medium,High,Engineering,Remote,Corporate,No,Medium,No,12,5,No,Medium,Teamwork,Medium,Medium,Digital Marketer
40,Other,Bachelor's,Engineering,High,Low,No,High,High,Low,Medium,Medium,Low,Social Work,Hybrid,Startup,No,Low,Yes,0,9,No,High,Teamwork,Low,Low,Artist
28,Other,High School,Arts,Medium,High,No,Medium,Low,Medium,Medium,High,High,Science,On-Site,Corporate,No,Medium,Yes,10,10,No,Medium,Teamwork,Low,Medium,Business Analyst
28,Other,Diploma,Sports,Low,Medium,Yes,High,Low,Medium,Medium,Medium,Low,Science,Hybrid,Government,No,High,Yes,10,5,Yes,High,Individual,Medium,High,Lawyer
41,Female,Bachelor's,Business,Low,Medium,Yes,Medium,Medium,Medium,Medium,Low,Medium,Social Work,Hybrid,Freelance,No,High,No,2,3,Yes,Medium,Individual,Low,High,Entrepreneur
38,Male,Bachelor's,Arts,High,High,Yes,Medium,High,Medium,High,Medium,Low,Science,Hybrid,Government,No,High,No,10,9,No,Medium,Teamwork,High,Medium,Research Scientist
21,Other,Bachelor's,Engineering,Medium,Medium,No,High,Medium,Medium,High,Low,High,Sports,Hybrid,Government,No,High,No,3,9,Yes,Low,Balanced,Medium,High,Doctor
25,Male,High School,Engineering,Low,Medium,No,High,Low,Low,High,Medium,Medium,Medicine,On-Site,Research Lab,No,Low,No,7,5,Yes,High,Teamwork,Medium,Medium,Entrepreneur
41,Male,PhD,Engineering,Medium,Low,Yes,Medium,High,High,Medium,Medium,Low,Medicine,Hybrid,Startup,No,Low,No,12,4,Yes,Low,Teamwork,Medium,Medium,Business Analyst
20,Male,Diploma,Sports,High,High,No,High,High,Medium,Medium,Medium,Medium,Engineering,Hybrid,Government,No,Low,Yes,2,2,No,Medium,Balanced,Medium,High,Entrepreneur
39,Other,Diploma,Science,Medium,Medium,Yes,High,Low,Low,High,High,Medium,Technology,Hybrid,Startup,Yes,Low,No,3,9,No,High,Individual,High,Low,Digital Marketer
38,Other,Master’s,Arts,High,Medium,Yes,Medium,Medium,Low,Low,High,High,Social Work,Remote,Startup,Yes,High,Yes,6,6,No,Medium,Individual,Low,Medium,Data Scientist
19,Male,High School,Science,Low,High,Yes,Medium,Medium,Low,Medium,Low,High,Technology,Remote,Government,Yes,Medium,No,1,5,Yes,High,Individual,Low,Low,Business Analyst
41,Female,Bachelor's,Engineering,Low,Medium,No,Medium,High,Medium,Medium,Medium,Medium,Sports,On-Site,Corporate,No,Medium,No,12,3,No,High,Balanced,Medium,High,Entrepreneur
29,Male,PhD,Business,Medium,High,Yes,Low,High,High,High,Low,Low,Technology,Hybrid,Government,Yes,Low,Yes,2,7,Yes,High,Teamwork,Low,Low,Mechanical Engineer
47,Female,High School,Engineering,Medium,Low,Yes,Medium,Medium,High,Medium,Medium,Low,Science,Hybrid,Research Lab,No,Low,Yes,5,4,Yes,High,Individual,Medium,High,Lawyer
23,Male,High School,Science,Medium,Medium,Yes,Medium,Medium,High,High,Medium,Medium,Social Work,On-Site,Freelance,No,Medium,Yes,5,6,No,High,Teamwork,High,Medium,Business Analyst
19,Male,PhD,Engineering,Medium,Medium,Yes,Medium,Medium,Medium,Medium,High,Medium,Sports,On-Site,Freelance,No,Medium,Yes,1,8,No,High,Individual,High,Medium,Data Scientist
49,Male,Bachelor's,Engineering,High,Medium,Yes,Medium,Medium,Medium,Medium,Medium,Medium,Social Work,Remote,Research Lab,Yes,High,No,9,4,No,High,Teamwork,Medium,Medium,Software Engineer
45,Other,High School,Science,High,High,No,Medium,High,High,Medium,Medium,Low,Sports,Remote,Government,No,Low,No,6,0,Yes,High,Balanced,High,Medium,Software Engineer
38,Female,Diploma,Science,Medium,Medium,No,Low,Medium,Medium,Medium,Low,High,Arts,On-Site,Government,Yes,High,No,12,6,Yes,High,Individual,Low,Medium,Doctor
18,Female,Diploma,Business,Medium,Medium,Yes,Medium,High,Medium,High,Low,Low,Sports,Hybrid,Government,Yes,Medium,Yes,0,0,No,High,Balanced,High,Low,Entrepreneur
29,Male,PhD,Science,Medium,Medium,Yes,Medium,Low,Medium,Low,Low,Medium,Arts,Hybrid,Corporate,Yes,Medium,Yes,11,4,No,Medium,Individual,Medium,Medium,Business Analyst
43,Other,Bachelor's,Business,High,High,Yes,Medium,High,High,High,High,High,Social Work,Hybrid,Freelance,Yes,Low,Yes,12,8,Yes,High,Balanced,Medium,Low,Research Scientist
39,Other,PhD,Medicine,High,Low,Yes,Low,High,Medium,Medium,High,Medium,Business,Hybrid,Corporate,No,Medium,No,12,2,Yes,Low,Teamwork,Medium,Medium,Entrepreneur
46,Female,High School,Medicine,Medium,Low,No,Low,Low,High,Medium,High,High,Business,Remote,Startup,No,Medium,No,12,6,No,Low,Balanced,Medium,Medium,Digital Marketer
29,Other,Diploma,Science,Medium,High,No,Medium,Medium,High,High,High,Medium,Engineering,Hybrid,Startup,No,Medium,Yes,10,9,No,Medium,Teamwork,Low,High,Artist
42,Female,Master’s,Engineering,Low,Medium,Yes,Medium,Medium,Medium,High,High,Low,Engineering,On-Site,Research Lab,Yes,Medium,No,5,0,No,Medium,Balanced,Medium,High,Doctor
34,Female,PhD,Arts,High,Medium,No,High,Low,Medium,High,Medium,High,Science,Hybrid,Corporate,Yes,Medium,Yes,10,5,Yes,High,Teamwork,High,Low,Artist
44,Female,Master’s,Engineering,Low,Medium,No,High,High,Medium,Low,Medium,Low,Business,Remote,Government,Yes,Medium,Yes,12,3,No,Low,Balanced,High,Low,Lawyer
44,Other,Master’s,Science,Low,Medium,Yes,Medium,Medium,High,Low,Medium,Medium,Sports,Hybrid,Government,Yes,Medium,No,12,0,No,Medium,Balanced,High,Low,Artist
48,Female,Diploma,Business,Medium,High,Yes,Medium,Medium,Medium,High,Low,High,Sports,Hybrid,Corporate,Yes,High,No,1,9,No,Medium,Individual,Low,Low,Lawyer
27,Female,PhD,Engineering,High,Medium,Yes,Medium,Medium,Medium,Medium,Medium,Low,Arts,Remote,Government,No,Medium,Yes,9,4,No,Low,Balanced,High,Low,Software Engineer
49,Male,Master’s,Medicine,Low,Medium,Yes,Low,High,Low,Medium,High,Medium,Medicine,Remote,Government,No,Low,Yes,12,0,Yes,Medium,Individual,Low,Low,Doctor
45,Female,High School,Sports,Low,Low,Yes,High,High,Low,Medium,Low,Low,Science,Remote,Corporate,No,Low,Yes,12,9,No,Low,Individual,High,Medium,Research Scientist
45,Female,Bachelor's,Science,Low,Low,No,High,High,Low,Low,Low,High,Medicine,Hybrid,Startup,No,High,Yes,12,10,No,Medium,Balanced,Low,Medium,Data Scientist
33,Male,Bachelor's,Engineering,Medium,Medium,No,Medium,Medium,Low,High,High,Medium,Business,On-Site,Corporate,Yes,Low,No,12,5,No,Medium,Balanced,Medium,High,Research Scientist
32,Male,Diploma,Sports,High,Medium,No,High,Low,Low,High,Medium,Low,Medicine,On-Site,Freelance,No,Low,No,12,6,Yes,Medium,Individual,Medium,Medium,Mechanical Engineer
47,Other,PhD,Engineering,High,Low,No,Medium,Medium,High,High,High,Medium,Technology,Remote,Freelance,Yes,High,Yes,9,10,No,Low,Teamwork,High,Medium,Software Engineer
47,Female,PhD,Business,High,Low,Yes,Medium,Low,Medium,Medium,Medium,Medium,Social Work,On-Site,Freelance,Yes,Medium,No,7,10,No,High,Balanced,High,Low,Business Analyst
32,Other,Bachelor's,Business,Medium,Low,No,Low,Medium,Medium,Low,Low,Medium,Science,Remote,Research Lab,No,High,No,1,6,Yes,High,Individual,High,Low,Research Scientist
47,Other,High School,Business,High,Low,Yes,Medium,Medium,High,High,Medium,Low,Science,On-Site,Research Lab,Yes,Medium,No,12,1,Yes,Medium,Balanced,High,Medium,Digital Marketer
36,Male,Bachelor's,Sports,Medium,Low,No,Low,Low,Low,Medium,Low,Medium,Engineering,Hybrid,Startup,Yes,Medium,Yes,3,3,No,Low,Balanced,Medium,Low,Data Scientist
29,Other,Bachelor's,Arts,Low,Medium,Yes,High,Low,High,Medium,High,High,Business,On-Site,Corporate,Yes,Medium,Yes,11,7,No,Medium,Individual,Low,Low,Entrepreneur
40,Female,PhD,Sports,Medium,Medium,No,Low,Low,Medium,Low,Low,High,Arts,On-Site,Startup,No,High,No,12,8,Yes,Medium,Teamwork,High,Medium,Digital Marketer
37,Male,Master’s,Science,Low,Low,No,Low,Low,Medium,Medium,Medium,Medium,Medicine,Hybrid,Freelance,Yes,Low,Yes,11,0,Yes,Medium,Balanced,Medium,High,Doctor
49,Female,High School,Science,Medium,High,No,Medium,Low,Medium,Low,High,Low,Social Work,On-Site,Freelance,Yes,Medium,Yes,12,3,Yes,High,Teamwork,Medium,Low,Doctor
42,Female,PhD,Medicine,Low,High,Yes,Low,Low,Medium,Low,Medium,Medium,Medicine,Remote,Research Lab,Yes,Low,No,7,6,Yes,High,Teamwork,High,Low,Doctor
20,Male,Bachelor's,Medicine,Medium,High,Yes,Low,Medium,High,Low,High,Low,Engineering,Remote,Freelance,No,Low,No,0,5,Yes,High,Teamwork,High,High,Digital Marketer
22,Female,Master’s,Science,Medium,Medium,No,Low,Medium,High,Low,Medium,Medium,Medicine,On-Site,Research Lab,Yes,Low,No,4,10,No,High,Individual,Medium,Medium,Business Analyst
36,Male,High School,Engineering,High,High,Yes,Low,Medium,Medium,High,Low,Low,Medicine,Remote,Startup,No,Low,Yes,12,2,Yes,Medium,Balanced,Low,Medium,Mechanical Engineer
24,Female,Diploma,Science,Medium,Low,No,Medium,Medium,Medium,Medium,Medium,Low,Business,Remote,Corporate,No,Medium,No,6,5,No,Low,Balanced,High,Medium,Software Engineer
38,Male,High School,Arts,Medium,Medium,No,Medium,Low,High,High,High,Medium,Medicine,Hybrid,Corporate,Yes,High,Yes,12,7,No,Medium,Balanced,High,Low,Mechanical Engineer
26,Other,High School,Medicine,Medium,Medium,Yes,Medium,Medium,Low,Medium,High,Medium,Engineering,Hybrid,Corporate,No,High,No,3,9,No,Low,Balanced,Medium,High,Artist
24,Female,Bachelor's,Medicine,High,Medium,Yes,Low,Low,Low,High,Medium,Low,Engineering,Remote,Corporate,Yes,Medium,No,6,8,No,Low,Teamwork,High,Medium,Mechanical Engineer
35,Male,Bachelor's,Sports,Medium,High,No,Medium,Medium,Medium,Medium,High,Low,Social Work,On-Site,Government,Yes,High,No,4,3,Yes,Low,Teamwork,Medium,Medium,Software Engineer
21,Female,Diploma,Medicine,Low,High,No,High,Medium,High,High,Low,High,Technology,Hybrid,Startup,Yes,Medium,Yes,3,7,No,Medium,Balanced,High,Medium,Research Scientist
42,Female,Diploma,Science,High,Medium,No,Low,Medium,High,High,Medium,Medium,Engineering,On-Site,Research Lab,No,Medium,Yes,8,0,No,Low,Balanced,Medium,Low,Digital Marketer
45,Female,Diploma,Medicine,Medium,High,No,Medium,Medium,Medium,Medium,Low,High,Engineering,Hybrid,Startup,No,High,Yes,3,1,No,Medium,Balanced,Medium,Medium,Mechanical Engineer
